cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,n_draws,primitive_step,point,low,high,method,n_seeds,limit
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,62097.58437961363,6.167217788185132,3.5046255463156397,10.208115040344143,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,63855.727063848186,6.622159437834158,3.5286629696085443,9.96798628766016,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,65663.6472994804,7.089981658298859,3.5533809543167196,9.721058871001993,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,67522.75441730316,7.013881825584698,3.578798768888131,9.467140302667449,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,69434.49764989695,6.826977611622902,3.604936227310176,9.206032645131307,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,71400.36726135231,6.634781657576328,3.5744379702658238,8.949987177544854,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,73421.89570897768,6.43714414064253,3.369343074585948,8.728934312850992,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,75500.6588378982,6.2339109961493175,3.0946606052403602,8.501622871744319,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,77638.27710947653,5.464469841046359,2.7281014326668536,9.524298840955947,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,79836.41686451365,5.606670006594473,4.035289894590983,13.125156240505223,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,82096.79162221398,8.840654897060116,4.967360108847878,14.975237644510308,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,84421.16341592756,8.962271919033915,4.985883010539771,13.435998281995765,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,86811.34416671067,8.844264525576506,4.941785036480276,12.890978298822368,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,89269.19709577528,8.786401275932588,4.896438535102741,12.607394717533012,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,91796.63817692875,8.753086409866768,4.849808157380433,12.283065465091202,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,94395.63763013578,8.332796145866642,4.801857553464552,11.917535979501928,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,97068.22145736695,8.253822874718134,4.752549344348378,11.686261730880506,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,99816.47302193113,8.172613666692095,4.655367977496812,11.682649135058451,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,102642.53467252274,8.089105216651896,4.484305205073994,11.678934257336397,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,105548.6094132502,8.003232427129307,4.22611286451804,11.675114201850102,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,108536.96262094691,7.909582094542839,4.047381852022115,11.67118599074594,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,111609.92381110399,7.81307138879642,4.019189396158369,11.667146561859575,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,114769.88845380092,7.7138282161923355,3.948368287887783,11.396915082747254,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,118019.31984105,7.711302943534758,3.875542051484769,11.083292811935035,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,121360.75100701013,7.5003361156157915,3.7187903092801773,11.478722047066881,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,124796.78670256663,7.818422855602964,3.547397848698256,11.962909420498363,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,128330.10542581683,7.915658504689437,3.481115772888236,11.20745547727163,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,131963.4615100435,7.896020316365608,3.4203244573506133,11.259004426911941,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,135699.68727080434,7.8758261203085,3.4012613116751793,12.490181052493416,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,139541.6952138123,8.254267517816515,3.38165843920614,12.238159126316473,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,143492.48030532373,8.660545080859594,3.3615005588867026,12.295941704042491,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,147555.1223068103,8.42059439300208,3.3407719570139656,12.628481692841548,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,151732.7881757297,8.413816385050636,3.3194564749895923,14.2603589413014,median-range,5,9996584
