cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,point,low,high,method,n_seeds
0831-002132__DelayedChallenge-v0__exp4/DelayedChallenge-v0__option__grammar__n64__os0__budget5000000__max_episode_steps5000__discountprimitive__ent_coef0.01__exp4,0831-002132__DelayedChallenge-v0__exp4,DelayedChallenge-v0,option,grammar,0,5000000,5000,0,0.999,primitive,exp4,64,5.80200746187499,5.486708746898075,6.837008805325287,median-range,5
0831-002132__DelayedChallenge-v0__exp4/DelayedChallenge-v0__option__grammar__n64__os0__budget5000000__max_episode_steps5000__discountprimitive__reward_delay1000__ent_coef0.01__exp4,0831-002132__DelayedChallenge-v0__exp4,DelayedChallenge-v0,option,grammar,0,5000000,5000,1000,0.999,primitive,exp4,64,6.916529131112605,5.941166534441492,8.087368795480117,median-range,5
0831-002132__DelayedChallenge-v0__exp4/DelayedChallenge-v0__option__grammar__n64__os0__budget5000000__max_episode_steps5000__discountprimitive__reward_delay100__ent_coef0.01__exp4,0831-002132__DelayedChallenge-v0__exp4,DelayedChallenge-v0,option,grammar,0,5000000,5000,100,0.999,primitive,exp4,64,6.086298897893142,5.718951474726938,6.777620236298324,median-range,5
0831-002132__DelayedChallenge-v0__exp4/DelayedChallenge-v0__option__grammar__n64__os0__budget5000000__max_episode_steps5000__discountprimitive__reward_delay300__ent_coef0.01__exp4,0831-002132__DelayedChallenge-v0__exp4,DelayedChallenge-v0,option,grammar,0,5000000,5000,300,0.999,primitive,exp4,64,5.948351090263747,5.3324960548292,7.226170781611235,median-range,5
